ts,open,high,low,close,volume
1769306400000,2955.24,2957.11,2954.46,2956.69,47.95591
1769306700000,2956.69,2958.04,2956.69,2957.29,43.4834
1769307000000,2957.29,2957.29,2955.7,2956.84,77.70445
1769307300000,2956.84,2956.88,2955.59,2956.66,52.00472
1769307600000,2956.66,2956.83,2955.08,2955.58,54.50659
1769307900000,2955.58,2955.58,2953.52,2953.53,114.30119
1769308200000,2953.53,2956.49,2953.52,2955.43,179.24042
1769308500000,2955.43,2956.87,2954.28,2954.51,152.98647
1769308800000,2954.51,2955.2,2953.3,2953.3,88.48342
1769309100000,2953.3,2954.25,2953.0,2954.0,62.31004
1769309400000,2954.0,2954.59,2953.71,2953.71,53.97529
1769309700000,2953.71,2953.71,2953.44,2953.44,31.17675
1769310000000,2953.44,2954.4,2952.98,2953.16,94.9374
1769310300000,2953.16,2953.4,2950.01,2950.73,128.88555
1769310600000,2950.73,2952.49,2950.73,2951.12,41.61425
1769310900000,2951.12,2951.12,2944.71,2948.36,279.93199
1769311200000,2948.36,2948.36,2945.45,2948.11,192.52608
1769311500000,2948.11,2948.2,2945.0,2945.24,132.40583
1769311800000,2945.24,2945.37,2937.38,2939.86,502.85947
1769312100000,2939.86,2943.27,2938.33,2942.72,383.08136
1769312400000,2942.72,2943.77,2941.79,2941.79,120.13993
1769312700000,2941.79,2941.79,2938.18,2941.57,239.93841
1769313000000,2941.57,2941.86,2939.56,2940.08,111.26639
1769313300000,2940.08,2943.68,2940.08,2942.74,83.41542
1769313600000,2942.74,2946.16,2941.77,2945.38,132.41851
1769313900000,2945.38,2947.3,2943.54,2945.83,209.87247
1769314200000,2945.83,2945.95,2941.6,2942.95,218.20143
1769314500000,2942.95,2944.07,2941.95,2942.36,169.21074
1769314800000,2942.36,2942.98,2940.87,2940.87,83.90942
1769315100000,2940.87,2944.66,2940.54,2944.42,143.46485
1769315400000,2944.42,2949.08,2943.98,2946.8,177.48748
1769315700000,2946.8,2949.64,2946.8,2948.57,108.52281
